5.155000000000005,4,5,6,7,9
5.300000000000001,2,5,7,8,9
6.645000000000007,3,5,6,8,9
3.8749999999999893,1,2,3,11,14
4.1900000000000155,3,4,7,8,9
3.2600000000000016,1,2,7,10,11
5.679999999999998,16,1,2,3,9
4.600000000000005,2,3,4,9,13
4.800000000000001,3,4,6,7,11
4.039999999999992,2,3,5,10,11
6.354999999999986,1,3,6,9,12
3.949999999999992,3,4,5,6,13
3.9149999999999814,16,1,3,4,7
5.275000000000002,2,3,7,9,10
3.5099999999999874,1,4,7,9,10
3.740000000000002,1,6,7,8,9
3.8800000000000026,1,2,7,8,13
3.2799999999999905,1,2,6,9,13
3.3649999999999913,1,3,5,7,15
4.294999999999984,1,4,7,8,11
2.775000000000013,1,2,8,9,11
3.9299999999999855,3,4,5,7,12
4.130000000000003,2,3,5,9,12
5.090000000000007,1,4,5,10,11
4.260000000000002,1,2,5,10,13
4.650000000000002,1,3,5,9,13
5.245000000000001,1,3,5,10,12
4.419999999999995,16,1,2,5,7
5.7500000000000036,2,4,5,7,13
5.474999999999998,3,5,6,7,10
3.6200000000000117,2,3,4,8,14
5.295000000000005,1,2,4,10,14
4.779999999999994,16,1,2,4,8
4.649999999999999,1,2,5,9,14
4.854999999999997,1,3,8,9,10
3.9499999999999815,1,3,4,9,14
3.995000000000008,2,3,4,7,15
5.090000000000021,1,4,5,8,13
3.8950000000000067,3,4,6,8,10
9.185000000000016,1,5,7,8,10
2.924999999999997,1,2,5,8,15
4.8550000000000075,1,2,3,10,15
3.2100000000000115,1,3,6,8,13
3.580000000000002,1,4,6,8,12
5.940000000000005,1,4,6,7,13
5.7699999999999925,2,3,6,7,13
2.965000000000007,2,4,6,8,11
4.0849999999999795,2,3,6,9,11
4.685000000000002,3,4,5,9,10
5.579999999999995,2,4,6,9,10
4.9900000000000055,1,3,7,8,12
4.7899999999999885,1,4,5,9,12
3.539999999999992,2,3,5,6,15
4.560000000000006,2,3,6,8,12
3.59,2,3,5,7,14
2.990000000000016,1,4,5,6,15
3.710000000000015,1,2,6,8,14
4.570000000000004,2,5,6,7,11
4.470000000000017,1,5,6,8,11
6.069999999999979,1,5,6,7,12
6.75999999999998,1,3,6,7,14
4.934999999999995,1,2,5,11,12
3.574999999999992,1,3,4,10,13
