3.5549999999999997,4,5,14
5.990000000000002,3,6,14
6.715,5,8,10
4.404999999999998,4,9,10
3.0650000000000013,1,9,13
5.184999999999997,16,1,6
5.429999999999996,1,10,12
4.470000000000002,5,7,11
3.710000000000001,4,8,11
5.475000000000001,3,8,12
2.8850000000000016,3,7,13
5.060000000000002,16,3,4
4.395,4,7,12
2.5850000000000026,3,5,15
5.285,1,8,14
2.5049999999999955,1,7,15
3.955000000000002,2,6,15
4.069999999999999,16,2,5
4.629999999999999,4,6,13
4.520000000000003,2,8,13
2.8749999999999964,3,9,11
4.064999999999998,2,10,11
4.919999999999995,5,6,12
6.130000000000001,5,9,10
4.084999999999994,6,8,10
0.6600000000000037,7,8,9
2.75,6,7,11
4.239999999999998,2,8,14
5.59,16,3,5
6.234999999999999,5,8,11
3.719999999999999,2,9,13
4.224999999999998,4,9,11
4.744999999999999,2,10,12
5.0049999999999955,3,9,12
4.695000000000004,4,7,13
5.845000000000004,3,8,13
4.324999999999996,16,1,7
6.859999999999996,1,9,14
5.004999999999997,16,2,6
3.6200000000000045,3,10,11
5.620000000000001,1,11,12
3.455000000000002,3,7,14
3.7149999999999963,5,6,13
4.329999999999998,5,7,12
3.4849999999999994,4,8,12
4.379999999999997,4,6,14
3.0650000000000013,1,8,15
3.365000000000002,4,5,15
4.040000000000003,2,7,15
3.860000000000001,1,10,13
3.0400000000000027,3,6,15
3.919999999999998,6,8,11
4.010000000000002,7,8,10
5.954999999999995,6,9,10
4.204999999999998,5,9,11
4.165000000000001,4,6,15
6.390000000000001,16,3,6
4.124999999999993,4,10,11
4.959999999999997,2,9,14
4.114999999999998,16,2,7
4.070000000000002,4,8,13
3.59,3,9,13
5.265000000000001,3,8,14
5.419999999999998,1,10,14
5.520000000000003,1,11,13
1.745000000000001,6,7,12
3.759999999999998,2,11,12
3.7849999999999984,2,10,13
6.215,5,8,12
4.075000000000003,1,9,15
4.33,16,1,8
4.104999999999997,4,9,12
4.305000000000001,16,4,5
5.93,3,10,12
4.32,5,7,13
-0.6899999999999977,3,7,15
4.929999999999996,5,6,14
3.224999999999998,4,7,14
3.7850000000000037,2,8,15
0.035000000000003695,7,8,11
4.314999999999998,7,9,10
2.289999999999999,6,9,11
3.0050000000000026,3,8,15
3.625,2,9,15
5.774999999999995,5,10,11
4.974999999999998,6,8,12
4.384999999999998,4,9,13
4.149999999999999,5,7,14
2.7950000000000017,1,10,15
6.329999999999998,5,9,12
5.544999999999998,16,4,6
3.860000000000003,4,7,15
7.180000000000003,5,8,13
4.544999999999998,16,2,8
2.7949999999999946,1,12,13
5.414999999999999,4,10,12
5.004999999999999,16,1,9
5.529999999999998,1,11,14
3.5900000000000034,3,11,12
3.2549999999999955,4,8,14
4.329999999999995,2,10,14
3.9200000000000017,3,10,13
4.825000000000003,16,3,7
6.150000000000002,3,9,14
2.6449999999999996,5,6,15
4.009999999999998,2,11,13
1.4100000000000001,6,7,13
-0.6499999999999986,7,9,11
5.255000000000006,8,9,10
3.92,16,4,7
3.0049999999999955,6,10,11
3.655000000000001,3,10,14
6.909999999999997,1,12,14
3.5850000000000044,3,11,13
6.234999999999999,5,8,14
4.640000000000001,7,8,12
3.0600000000000005,4,8,15
2.460000000000001,3,9,15
5.029999999999998,16,2,9
4.539999999999996,4,9,14
3.669999999999998,6,9,12
5.754999999999997,5,10,12
3.639999999999997,4,10,13
3.9699999999999953,16,5,6
5.615000000000002,6,7,14
5.5350000000000055,16,3,8
4.085000000000004,4,11,12
3.259999999999998,2,12,13
3.4599999999999973,2,11,14
4.339999999999998,2,10,15
4.029999999999998,6,8,13
4.994999999999997,5,9,13
5.1750000000000025,16,1,10
1.9450000000000003,5,7,15
4.089999999999996,1,11,15
6.960000000000001,6,10,12
2.79999999999999,7,9,12
2.2150000000000034,8,9,11
4.760000000000005,3,11,14
1.1999999999999993,6,7,15
4.344999999999997,16,2,10
4.109999999999998,16,4,8
5.074999999999999,1,13,14
3.974999999999998,7,10,11
4.799999999999994,1,12,15
4.345000000000002,5,11,12
3.094999999999999,4,9,15
3.8299999999999983,16,5,7
5.725000000000005,7,8,13
4.049999999999994,6,9,13
3.1650000000000027,5,8,15
4.7499999999999964,2,12,14
5.5749999999999975,5,10,13
6.314999999999998,5,9,14
6.3799999999999955,6,8,14
1.9050000000000011,3,10,15
3.360000000000003,2,11,15
3.7899999999999956,4,10,14
3.6750000000000007,16,1,11
4.734999999999999,4,11,13
5.340000000000003,16,3,9
3.6449999999999996,3,12,13
4.385000000000005,6,10,13
7.165000000000003,8,10,11
5.805,16,1,12
3.3450000000000024,8,9,12
4.099999999999998,7,10,12
2.520000000000003,6,11,12
3.4349999999999987,4,11,14
4.355,2,13,14
2.8299999999999983,6,8,15
4.420000000000005,16,6,7
2.0400000000000063,7,9,13
3.5549999999999997,4,10,15
3.524999999999995,16,2,11
6.085000000000001,3,12,14
3.6649999999999956,1,13,15
5.919999999999998,5,11,13
4.754999999999999,16,4,9
3.9549999999999983,4,12,13
1.7349999999999959,5,9,15
4.605,2,12,15
5.93,16,3,10
2.4649999999999963,7,8,14
4.359999999999999,16,5,8
5.559999999999999,5,10,14
2.2100000000000044,3,11,15
7.34,6,9,14
0.7900000000000063,7,11,12
3.5299999999999976,9,10,11
4.615000000000002,8,10,12
3.4350000000000023,4,11,15
3.3150000000000013,3,12,15
4.524999999999999,16,5,9
4.9549999999999965,16,4,10
