-3.8099999999999916,1,2,4,5,9,11
-3.344999999999988,1,2,4,5,8,12
-2.974999999999987,2,3,4,5,6,12
-5.574999999999996,1,3,4,5,7,12
-4.585000000000001,1,2,4,6,9,10
-5.525000000000006,1,3,5,6,8,9
-3.924999999999976,1,3,4,7,8,9
-3.4150000000000063,1,3,4,6,8,10
-5.104999999999986,1,3,4,6,7,11
-3.940000000000012,1,2,5,7,8,9
-4.839999999999996,2,3,4,6,7,10
-4.600000000000001,1,2,3,5,10,11
-3.2349999999999994,1,2,4,5,6,14
-3.110000000000003,1,2,3,4,8,14
-3.09999999999998,1,2,3,6,9,11
-3.904999999999987,1,2,3,5,9,12
-4.369999999999994,2,3,4,5,8,10
-3.5050000000000026,1,2,3,6,8,12
-4.749999999999982,1,2,3,6,7,13
-4.000000000000014,1,3,4,5,6,13
-3.7450000000000045,1,2,3,7,8,11
-7.935000000000002,1,3,5,6,7,10
-5.864999999999991,1,2,4,5,7,13
-4.045000000000012,1,2,4,7,8,10
-4.940000000000005,1,3,4,5,8,11
-3.365000000000002,1,2,3,4,7,15
-3.40000000000002,1,2,5,6,9,10
-3.955000000000034,2,4,5,6,7,9
-4.969999999999992,2,3,5,6,8,9
-4.280000000000012,3,4,5,6,7,8
-5.060000000000006,1,2,3,6,10,11
-3.419999999999991,1,2,3,4,9,14
-3.870000000000015,1,2,4,5,8,13
-2.8900000000000006,1,2,4,6,8,12
-4.6899999999999835,1,2,3,7,8,12
-2.644999999999996,1,3,4,5,6,14
-4.67499999999999,16,1,2,3,5,6
-2.3949999999999996,1,2,3,6,8,13
-4.185000000000002,1,3,4,6,9,10
-4.2550000000000345,1,4,5,6,8,9
-5.154999999999994,1,3,4,5,9,11
-4.280000000000015,2,3,4,5,8,11
-3.9549999999999805,2,3,4,5,6,13
-3.63999999999999,2,3,4,5,7,12
-6.1599999999999895,1,2,5,6,7,12
-3.7449999999999832,1,2,3,8,9,10
-7.4299999999999855,1,3,5,6,7,11
-4.72999999999999,1,2,4,6,7,13
-4.14999999999997,1,2,3,7,9,11
-3.514999999999972,1,2,4,5,7,14
-5.830000000000005,1,2,5,7,8,10
-4.179999999999975,16,1,2,3,4,7
-3.3249999999999993,1,2,3,4,8,15
-4.635000000000019,2,3,4,7,8,9
